symptom,related_symptoms
itching,"yellowish_skin,loss_of_appetite,abdominal_pain,fatigue,skin_rash"
skin_rash,"fever,itching,headache,loss_of_appetite,malaise"
nodal_skin_eruptions,"itching,skin_rash,dischromic _patches"
dischromic _patches,"itching,skin_rash,nodal_skin_eruptions"
continuous_sneezing,"chills,phlegm,throat_irritation,redness_of_eyes,sinus_pressure"
shivering,"continuous_sneezing,chills,watering_from_eyes"
chills,"fever,fatigue,headache,vomiting,malaise"
watering_from_eyes,"continuous_sneezing,shivering,chills"
stomach_pain,"cough,chest_pain,acidity,ulcers_on_tongue,vomiting"
acidity,"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck"
ulcers_on_tongue,"stomach_pain,cough,chest_pain,acidity,vomiting"
vomiting,"nausea,abdominal_pain,loss_of_appetite,fatigue,fever"
cough,"chest_pain,fever,fatigue,phlegm,malaise"
chest_pain,"cough,phlegm,malaise,chills,fatigue"
yellowish_skin,"abdominal_pain,yellowing_of_eyes,loss_of_appetite,vomiting,nausea"
nausea,"vomiting,loss_of_appetite,fatigue,headache,abdominal_pain"
loss_of_appetite,"yellowing_of_eyes,fatigue,vomiting,nausea,yellowish_skin"
abdominal_pain,"vomiting,yellowish_skin,loss_of_appetite,yellowing_of_eyes,fatigue"
yellowing_of_eyes,"loss_of_appetite,yellowish_skin,abdominal_pain,vomiting,fatigue"
burning_micturition,"itching,bladder_discomfort,continuous_feel_of_urine,skin_rash,stomach_pain"
spotting_ urination,"itching,skin_rash,stomach_pain,burning_micturition"
passage_of_gases,"vomiting,abdominal_pain,internal_itching,loss_of_appetite,indigestion"
internal_itching,"vomiting,abdominal_pain,passage_of_gases,loss_of_appetite,indigestion"
indigestion,"acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck"
muscle_wasting,"fever,patches_in_throat,extra_marital_contacts"
patches_in_throat,"fever,muscle_wasting,extra_marital_contacts"
fever,"fatigue,chills,vomiting,headache,malaise"
extra_marital_contacts,"fever,muscle_wasting,patches_in_throat"
fatigue,"fever,loss_of_appetite,vomiting,malaise,nausea"
weight_loss,"fatigue,restlessness,excessive_hunger,vomiting,fever"
restlessness,"fatigue,weight_loss,excessive_hunger,increased_appetite,polyuria"
lethargy,"fatigue,malaise,itching,loss_of_appetite,increased_appetite"
